configuración,recall@1,recall@3,recall@5,recall@10,MRR,latencia media (s),coste medio ($),n_preguntas,pendiente
denso (base),0.0000,0.0000,0.2500,0.2500,0.0583,0.751771,0.000000,12,
+ filtro metadatos,0.2500,0.5000,0.6667,0.8333,0.4361,0.252850,0.000000,12,
+ BM25 (híbrido RRF),0.2500,0.5000,0.5833,0.6667,0.3958,0.256426,0.000000,12,
+ reescritura de consulta,0.6667,0.6667,0.7500,0.9167,0.7076,4.904420,0.001920,12,
todo,0.5833,0.8333,0.9167,1.0000,0.7375,4.920324,0.001920,12,
+ reordenación (cross-encoder),0.1667,0.2500,0.5833,0.7500,0.3160,0.711332,0.000000,12,
+ reescritura + reordenación,0.8333,0.8333,0.8333,0.9167,0.8452,5.198271,0.001920,12,
todo + reordenación,0.8333,0.8333,0.8333,0.9167,0.8452,5.212923,0.001920,12,
+ reescritura + reordenación (RRF),0.6667,0.7500,0.9167,0.9167,0.7417,5.196740,0.001920,12,
todo + reordenación (RRF),0.6667,0.9167,0.9167,0.9167,0.7778,5.167560,0.001920,12,
